Year,Rank,Hometown,High School,HS Type,Position,Status,College
2018,35,"Portland, Ore.",Jefferson High School,public,Power Forward,Signed ,Texas
2018,36,"Norfolk, Va.",Oak Hill Academy,private,Small Forward,Signed ,Florida
2018,37,"Inglewood, Calif.",Birmingham High School,public,Shooting Guard,Signed ,Arizona
2018,38,"Saint James, Md.",Brewster Academy,private,Small Forward,Signed ,Wake Forest
2018,39,"Saint Louis, Mo.",Whitfield School,private,Shooting Guard,Signed ,Missouri
2018,40,"Cedar Falls, Iowa",Cedar Falls High School,public,Point Guard,Signed ,Northern Iowa
2018,41,"Richfield, Ohio",Revere High School,public,Power Forward,Signed ,Northwestern
2018,42,"Chula Vista, Calif.",Brewster Academy,private,Power Forward,Signed ,Oregon
2018,43,"Fayetteville, N.C.",Northwood Temple Academy,private,Center,Signed ,NC State
2018,44,"Mars, Pa.",Mars Area High School,public,Small Forward,Signed ,Notre Dame
2018,45,"Belleville, Mich.",Belleville High School,public,Small Forward,Signed ,Michigan State
2018,46,"Cincinnati, Ohio",Moeller High School,public,Center,Signed ,Texas
2018,47,"Miami, Fla.",Westwood Christian School,private,Center,Signed ,Purdue
2018,48,"Fairburn, Ga.",Langston Hughes High School,public,Small Forward,Signed ,Virginia Tech
2018,49,"Austin, Texas",Westlake High School,public,Small Forward,Signed ,Baylor
2018,50,"Wilmington, Del.",IMG Academy,private,Point Guard,Signed ,Maryland
2018,51,"Mississauga, Ont., Canada",Montverde Academy,private,Small Forward,Signed ,Duke
2018,52,"Norristown, Pa.",Westtown School,private,Small Forward,Signed ,Duke
2018,53,"New Albany, Ind.",New Albany High School,public,Shooting Guard,Signed ,Indiana
2018,54,"South Hill, Va.",Oak Hill Academy,private,Small Forward,Signed ,Kentucky
2018,55,"Altamonte Springs, Fla.",IMG Academy,private,Shooting Guard,Undeclared,N/A
2018,56,"Columbus, N.J.",Hudson Catholic High School,private,Small Forward,Signed ,Oregon
2018,57,"Cincinnati, Ohio",Princeton High School,public,Power Forward,Undeclared,N/A
2018,58,"Briarwood, N.Y.",Archbishop Molloy High School,private,Center,Signed ,UCLA
2018,59,"Apple Valley, Minn.",Apple Valley High School,public,Point Guard,Signed ,Duke
2018,60,"Burlington, Ontario, Canada",Vermont Academy,private,Power Forward,Signed ,Vanderbilt
2018,61,"Lehigh Acres, Fla.",Oak Ridge High School,public,Power Forward,Signed ,LSU
2018,62,"Goldsboro, N.C.",Greenfield High School,public,Point Guard,Signed ,North Carolina
2018,63,"Havre De Grace, Md.",The John Carroll School,private,Point Guard,Signed ,Kentucky
2018,64,"Norfolk, Va.",Oak Hill Academy,private,Center,Signed ,Kansas
2018,65,"Thomasville, Ga.",Thomasville High School,public,Power Forward,Signed ,Mississippi State
2018,66,"Baton Rouge, La.",Scotlandville Magnet High School,public,Point Guard,Signed ,LSU
2018,67,"Roseville, Calif.",Prolific Prep,private,Center,Signed ,Nevada
2018,68,"Hinesville, Ga.",Oak Hill Academy,private,Point Guard,Signed ,Oregon
2018,69,"Rockledge, Fla.",Rockledge High School,public,Point Guard,Signed ,USC
2018,70,"Encino, Calif.",Crespi Carmelite High School,private,Point Guard,Signed ,Arizona
2018,71,"Fayetteville, N.C.",Trinity Christian School,private,Power Forward,Signed ,Duke
2018,72,"Macon, Ga.",Westside High School,public,Small Forward,Signed ,Texas Tech
2018,73,"Orlando, Fla.",Montverde Academy,private,Point Guard,Signed ,Georgia Tech
2018,74,"Columbus, Miss.",Columbus High School,public,Small Forward,Signed ,Mississippi State
2018,75,"Stevens Point, Wis.",Stevens Point Area Senior High School,public,Power Forward,Signed ,Marquette
2018,76,"Los Angeles, Calif.",Windward School,private,Small Forward,Signed ,UCLA
